OBJECTID;NOM;Exutoire_1;Assec2010;Assec2011;Assec2012;Assec2013;Assec2014;Assec2015;Assec2016;Assec2017;Assec2018;Assec2019;Assec2020;Assec2021;Assec2022;Assec2023;Assec2024;Assec2025
672;REMONDET SUD;PARADIS;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
678;POLLET;VIEUX;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
716;PETIT RONZUEL;GRAND RONZUEL;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
728;PARADIS;SALE;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
730;FOUR;PLAT;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec
732;VIEUX BURLAT;GRAND RONZUEL;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage
743;VIEUX;PARADIS;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Assec;Evolage
757;NEUF DE BURLAT;VIEUX BURLAT;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
762;CARRONNIER;FOUR;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
768;SALE;OUTPUT;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
775;RIOUX;TRIPOUX;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage
782;LECHERE;FOUR;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
798;TRIPOUX;SALE;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage
801;BIETONNAY;TRIPOUX;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage
826;GRANGES;BIETONNAY;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Assec;Assec
844;ONDONNIERE;TRIPOUX;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage
853;LONGEVAVRE;ONDONNIERE;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
871;CHANTEMERLE;LONGEVAVRE;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Assec
1279;ROUE RONZUEL;PETIT ETANG LA ROUE;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
